,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
1180,(CaO)3·MgO·2SiO2,cr,328.7192,-4567.7,-4340.4,253.1,252.25,0.0
1181,Sr,cr,87.6200,0,0,52.3,26.4,0.0
1182,Sr,g,87.6200,164.4,130.9,164.62,20.786,0.0
1183,SrO,cr,103.6194,-592.0,-561.9,54.4,45.02,0.0
1184,SrH,g,88.6280,218.,188.,212.66,30.00,0.0
1185,SrF,g,106.6184,-288.7,-314.2,239.89,34.60,0.0
1186,SrF2,cr,125.6168,-1216.3,-1164.8,82.13,70.00,0.0
1187,SrF2,g,125.6168,-764.4,-775.3,291.06,52.97,0.0
1188,SrCl,g,123.0730,-126.4,-152.7,252.0,36.53,0.0
1189,SrCl2,cr,158.5260,-828.9,-781.1,114.85,75.60,0.0
1190,SrCl2,g,158.5260,-485.8,-496.2,310.81,55.77,0.0
1191,SrCl2·H2O,cr,176.5414,-1136.8,-1036.3,172.,120.1,0.0
1192,SrCl2·2H2O,cr,194.5568,-1438.0,-1281.8,218.,160.2,0.0
1193,SrBr2,cr,247.4380,-717.6,-697.1,135.10,75.35,0.0
1194,SrBr2,g,247.4380,-410.,-444.,323.5,60.7,0.0
1195,SrBr2·H2O,cr,265.4534,-1031.4,-954.3,180.,120.9,0.0
1196,SrBr2·6H2O,cr,355.5304,-2531.3,-2174.1,406.,343.5,0.0
1197,SrS,cr,119.6840,-472.4,-467.8,68.2,48.70,0.0
1198,Sr(NO3)2,cr,211.6298,-978.22,-780.02,194.56,149.91,0.0
1199,SrCO3,cr,147.6294,-1220.1,-1140.1,97.1,81.42,0.0
1200,SrSiO3,cr,163.7042,-1633.9,-1549.7,96.7,88.53,0.0
1201,Sr2SiO4,cr,267.3236,-2304.5,-2191.1,153.1,134.26,0.0
1202,SrTiO3,cr,183.5182,-1672.39,-1588.36,108.8,98.37,0.0
1203,Sr2TiO4,cr,287.1376,-2287.4,-2172.3,159.0,143.68,0.0
1204,SrZrO3,cr,226.8382,-1767.3,-1682.8,115.1,103.39,0.0
1205,Ba,cr,137.3400,0,0,62.8,28.07,0.0
1206,Ba,g,137.3400,180.,146.,170.243,20.786,0.0
1207,BaO,cr,153.3394,-553.5,-525.1,70.42,47.78,0.0
1208,BaH,g,138.3480,222.,197.,218.89,30.08,0.0
1209,BaF,g,156.3384,-326.4,-350.6,246.1,34.85,0.0
1210,BaF2,cr,175.3368,-1207.1,-1156.8,96.36,71.21,0.0
1211,BaF2,g,175.3368,-818.0,-828.4,300.98,53.76,0.0
1212,BaCl,g,172.7930,-167.,-192.,258.7,36.82,0.0
1213,BaCl2,cr,208.2460,-858.6,-810.4,123.68,75.14,0.0
1214,BaCl2,g,208.2460,-525.9,-537.6,325.29,56.19,0.0
1215,BaCl2·2H2O,cr,244.2768,-1460.13,-1296.32,202.9,161.96,0.0
1216,BaBr2,g,297.1580,-439.,-473.,331.,61.5,0.0
1217,Ba(BrO3)2·H2O,cr,411.1698,-1020.23,-789.0,288.3,223.8,0.0
1218,BaI2,g,391.1488,-326.,-377.,343.,61.5,0.0
1219,Ba(IO3)2,cr,487.1452,-1027.2,-864.7,249.4,187.4,0.0
1220,BaS,cr,169.4040,-460.,-456.,78.2,49.37,0.0
1221,BaSO4,cr,233.4016,-1473.2,-1362.2,132.2,101.75,0.0
1222,Ba(NO3)2,cr,261.3498,-992.07,-796.59,213.8,151.38,0.0
1223,BaCO3,cr,197.3494,-1216.3,-1137.6,112.1,85.35,0.0
1224,BaO·SiO2,cr,213.4242,-1623.60,-1540.21,109.6,90.00,0.0
1225,BaO·2SiO2,cr,273.5090,-2548.1,-2410.7,153.1,134.10,0.0
1226,(BaO)2·SiO2,cr,366.7636,-2287.8,-2174.8,176.1,134.89,0.0
1227,(BaO)2·3SiO2,cr,486.9332,-4184.8,-3963.0,258.2,224.60,0.0
1228,BaMoO4,cr,297.2776,-1548.,-1439.6,138.,123.0,0.0
1229,BaTiO3,cr,233.2382,-1659.8,-1572.3,107.9,102.47,0.0
1230,Ba2TiO4,cr,386.5776,-2243.0,-2132.9,196.6,152.63,0.0
1231,BaZrO3,cr,276.5582,-1779.5,-1694.5,124.7,101.71,0.0
1232,BaSrTiO4,cr,336.8576,-2276.1,-2167.7,191.6,146.23,0.0
1233,Ra,g,226.0250,159.,130.,176.47,20.79,0.0
