,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
1457,K4Fe(CN)6,cr,368.3624,-594.1,-453.0,418.8,332.21,0.0
1458,K4Fe(CN)6·3H2O,cr,422.4086,-1466.5,-1168.8,593.7,482.42,0.0
1459,K2PtCl6,cr,486.0120,-1229.3,-1078.5,333.9,205.60,0.0
1460,KMnO4,cr,158.0376,-837.2,-737.6,171.71,117.57,0.0
1461,KMnO4,ai,158.0376,-793.8,-730.5,293.7,-60.2,0.0
1462,KReO4,cr,289.2996,-1097.0,-994.5,167.82,122.55,0.0
1463,KReO4,ai,289.2996,-1039.7,-977.7,303.8,8.4,0.0
1464,K2ReCl6,cr,477.1220,-1310.4,-1172.7,371.71,214.68,0.0
1465,K2CrO4,cr,194.1976,-1403.7,-1295.7,200.12,145.98,0.0
1466,K2Cr2O7,cr,294.1918,-2061.5,-1881.8,291.2,219.24,0.0
1467,Rb,cr,85.4678,0,0,76.78,31.062,0.0
1468,Rb,g,85.4678,80.88,53.06,170.089,20.786,0.0
1469,RbF,g,104.4662,-331.4,-349.0,237.09,35.69,0.0
1470,Rb2F2,g,208.9324,-854.,-849.,344.0,79.9,0.0
1471,RbHF2,cr,124.4726,-922.6,-855.6,120.08,79.37,0.0
1472,RbCl,cr,120.9208,-435.35,-407.80,95.90,52.38,0.0
1473,RbCl,g,120.9208,-228.9,-247.3,249.56,36.82,0.0
1474,Rb2Cl2,g,241.8416,-619.,-619.,373.3,81.2,0.0
1475,RbClO3,cr,168.9190,-402.9,-300.3,151.9,103.18,0.0
1476,RbBr,cr,165.3768,-394.59,-381.79,109.96,52.84,0.0
1477,RbBr,g,165.3768,-182.8,-215.1,261.02,37.20,0.0
1478,RbI,cr,212.3722,-333.80,-328.86,118.41,53.18,0.0
1479,RbI,g,212.3722,-134.3,-174.1,268.81,37.36,0.0
1480,Rb2SO4,cr,266.9972,-1435.61,-1316.89,197.44,134.06,0.0
1481,RbNO3,cr,147.4727,-495.05,-395.78,147.3,102.1,0.0
1482,RbPF6,cr,230.4320,-2354.8,-2204.5,221.84,148.1,0.0
1483,Rb2CO3,cr,230.9450,-1136.0,-1051.0,181.33,117.61,0.0
1484,Rb2SnCl6,cr,502.3436,-1523.0,-1374.8,377.61,227.07,0.0
1485,RbBO2,cr,128.2776,-970.7,-913.,94.31,74.06,0.0
1486,RbBO2,g,128.2776,-672.4,-678.6,308.26,59.16,0.0
1487,RbAg4I5,cr,1151.4698,-572.8,-598.3,623.,285.52,0.0
1488,Cs,cr,132.9054,0,0,85.23,32.17,0.0
1489,Cs,g,132.9054,76.065,49.121,175.595,20.786,0.0
1490,Cs<sup>+</sup>,ao,132.9054,-258.28,-292.02,133.05,-10.5,1.0
1491,Cs2,g,265.8108,107.3,73.5,283.83,37.95,0.0
1492,Cs2O,cr,281.8102,-345.77,-308.14,146.86,75.98,0.0
1493,CsH,g,133.9134,115.7,96.5,215.167,31.547,0.0
1494,CsOH,g,149.9128,-247.,-247.,254.83,49.71,0.0
1495,CsF,cr,151.9038,-553.5,-525.5,92.80,51.09,0.0
